Commodity,Date,Average
Ginger,11/3/2014,77.5
Ginger,11/4/2014,77.5
Ginger,11/5/2014,77.5
Ginger,11/6/2014,75.0
Ginger,11/7/2014,75.0
Ginger,11/8/2014,75.0
Ginger,11/9/2014,75.0
Ginger,11/10/2014,75.0
Ginger,11/11/2014,75.0
Ginger,11/12/2014,75.0
Ginger,11/13/2014,75.0
Ginger,11/14/2014,75.0
Ginger,11/15/2014,75.0
Ginger,11/16/2014,75.0
Ginger,11/17/2014,75.0
Ginger,11/18/2014,75.0
Ginger,11/19/2014,75.0
Ginger,11/20/2014,75.0
Ginger,11/21/2014,70.0
Ginger,11/22/2014,75.0
Ginger,11/23/2014,75.0
Ginger,11/24/2014,75.0
Ginger,11/25/2014,75.0
Ginger,11/26/2014,75.0
Ginger,11/27/2014,75.0
Ginger,11/28/2014,75.0
Ginger,11/29/2014,75.0
Ginger,11/30/2014,75.0
Ginger,12/1/2014,75.0
Ginger,12/2/2014,75.0
Ginger,12/3/2014,75.0
Ginger,12/4/2014,75.0
Ginger,12/5/2014,75.0
Ginger,12/6/2014,75.0
Ginger,12/7/2014,75.0
Ginger,12/8/2014,57.5
Ginger,12/9/2014,67.5
Ginger,12/10/2014,67.5
Ginger,12/11/2014,65.0
Ginger,12/12/2014,65.0
Ginger,12/13/2014,65.0
Ginger,12/14/2014,65.0
Ginger,12/15/2014,65.0
Ginger,12/16/2014,65.0
Ginger,12/17/2014,60.0
Ginger,12/18/2014,60.0
Ginger,12/19/2014,57.5
Ginger,12/21/2014,57.5
Ginger,12/22/2014,57.5
Ginger,12/23/2014,62.5
Ginger,12/24/2014,60.0
Ginger,12/25/2014,60.0
Ginger,12/26/2014,55.0
Ginger,12/27/2014,55.0
Ginger,12/28/2014,55.0
Ginger,12/29/2014,55.0
Ginger,12/30/2014,55.0
Ginger,12/31/2014,55.0
Ginger,1/1/2015,55.0
Ginger,1/2/2015,57.5
Ginger,1/3/2015,55.0
Ginger,1/4/2015,57.5
Ginger,1/5/2015,57.5
Ginger,1/6/2015,57.5
Ginger,1/7/2015,57.5
Ginger,1/8/2015,57.5
